model,dataset,threshold,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.9099999999999999,0.9789412108803743,0.12698412698412698,0.32,0.18181818181818182,0.8375662934590454,3419,25,63
logistic_regression,test,0.9099999999999999,0.9780637613337233,0.11940298507462686,0.3333333333333333,0.17582417582417584,0.8327074128620521,3419,24,67
random_forest,validation,0.18,0.9909330213512723,0.35,0.28,0.3111111111111111,0.8920153211549794,3419,25,20
random_forest,test,0.18,0.9915179877157063,0.38095238095238093,0.3333333333333333,0.35555555555555557,0.8918262150220915,3419,24,21
xgboost,validation,0.7949999999999999,0.9926879204445744,0.5,0.28,0.358974358974359,0.8136181496758987,3419,25,14
xgboost,test,0.7949999999999999,0.9926879204445744,0.47058823529411764,0.3333333333333333,0.3902439024390244,0.9058787432498773,3419,24,17
