model,dataset,threshold,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.9299999999999999,0.9830359754314127,0.18867924528301888,0.4,0.2564102564102564,0.8371773718326458,3419,25,53
logistic_regression,test,0.9299999999999999,0.9818660427025446,0.1935483870967742,0.5,0.27906976744186046,0.8611806578301424,3419,24,62
random_forest,validation,0.16999999999999998,0.9909330213512723,0.35,0.28,0.3111111111111111,0.8869121979964643,3419,25,20
random_forest,test,0.16999999999999998,0.9915179877157063,0.391304347826087,0.375,0.3829787234042553,0.9018470790378008,3419,24,23
xgboost,validation,0.7649999999999999,0.9915179877157063,0.4,0.32,0.35555555555555557,0.8282793164407779,3419,25,20
xgboost,test,0.7649999999999999,0.9926879204445744,0.47368421052631576,0.375,0.4186046511627907,0.9049337260677466,3419,24,19
