model,dataset,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.7753560011624527,0.03934010152284264,0.6595744680851063,0.07425149700598803,0.7876477889642547,3441,47,788
logistic_regression,test,0.7876234747239976,0.0427807486631016,0.6808510638297872,0.08050314465408805,0.7671043148560147,3442,47,748
random_forest,validation,0.986922406277245,0.6,0.1276595744680851,0.21052631578947367,0.8782958662972205,3441,47,10
random_forest,test,0.9869262056943637,0.6,0.1276595744680851,0.21052631578947367,0.9098799862125152,3442,47,10
xgboost,validation,0.9659982563208369,0.2033898305084746,0.5106382978723404,0.2909090909090909,0.8850787998846525,3441,47,118
xgboost,test,0.9657176060429983,0.20168067226890757,0.5106382978723404,0.2891566265060241,0.8766834832200043,3442,47,119
