experiment_name,feature_set,dataset,feature_count,dropped_feature_count,dropped_features,params_json,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,rows,positive_labels,positive_predictions
grid1_06,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,4,0.03,0.8,0.8,1.1243756243756244,0.59,0.8177570093457944,0.860248447204969,0.7139175257731959,0.780281690140845,0.9059333421446824,0.896216108444753,856,388,322
grid1_07,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,4,0.05,0.8,0.8,1.1243756243756244,0.5249999999999999,0.7592975206611571,0.6949740034662045,0.8755458515283843,0.77487922705314,0.8483089305591233,0.8261585530444165,968,458,577
grid1_07,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,4,0.05,0.8,0.8,1.1243756243756244,0.5249999999999999,0.8282710280373832,0.8513119533527697,0.7525773195876289,0.79890560875513,0.9122279495990836,0.8990204576473881,856,388,343
grid1_08,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,4,0.05,0.8,0.8,1.1243756243756244,0.5499999999999999,0.7541322314049587,0.6909722222222222,0.868995633187773,0.769825918762089,0.8434069697748094,0.8161280476384127,968,458,576
grid1_08,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,4,0.05,0.8,0.8,1.1243756243756244,0.5499999999999999,0.8341121495327103,0.8596491228070176,0.7577319587628866,0.8054794520547945,0.9106088642171116,0.8982210035844134,856,388,342
grid1_09,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,5,0.03,0.8,0.8,1.1243756243756244,0.58,0.7592975206611571,0.7041742286751361,0.8471615720524017,0.7690782953419227,0.8458087164997005,0.8189152922413081,968,458,551
grid1_09,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,5,0.03,0.8,0.8,1.1243756243756244,0.58,0.8329439252336449,0.8700906344410876,0.7422680412371134,0.8011126564673157,0.912316063089259,0.9005201998392152,856,388,331
grid1_10,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,5,0.03,0.8,0.8,1.1243756243756244,0.72,0.7727272727272727,0.741869918699187,0.7969432314410481,0.7684210526315789,0.8432314410480348,0.8156953066186803,968,458,492
grid1_10,all_features,test,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 400, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",400,5,0.03,0.8,0.8,1.1243756243756244,0.72,0.8142523364485982,0.9017543859649123,0.6623711340206185,0.763744427934621,0.9121563573883162,0.9027613765267647,856,388,285
grid1_11,all_features,validation,64,0,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200, ""scale_pos_weight"": 1.1243756243756244, ""subsample"": 0.8}",200,5,0.05,0.8,0.8,1.1243756243756244,0.49499999999999994,0.756198347107438,0.685,0.8973799126637555,0.776937618147448,0.8489939207123898,0.8169649209294049,968,458,600
