model,dataset,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.8105201976169718,0.019817073170731708,0.5909090909090909,0.038348082595870206,0.7143502884947751,3441,22,656
logistic_regression,test,0.8079604880883208,0.015197568389057751,0.43478260869565216,0.02936857562408223,0.667726388341366,3442,23,658
random_forest,validation,0.993315896541703,0.3333333333333333,0.045454545454545456,0.08,0.8239118296152518,3441,22,3
random_forest,test,0.9941894247530505,0.8,0.17391304347826086,0.2857142857142857,0.8377227005099382,3442,23,5
xgboost,validation,0.986922406277245,0.15151515151515152,0.22727272727272727,0.18181818181818182,0.845688532000319,3441,22,33
xgboost,test,0.9866356769320163,0.17142857142857143,0.2608695652173913,0.20689655172413793,0.744585881963961,3442,23,35
