model,dataset,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.8367943843229014,0.034904013961605584,0.8,0.06688963210702341,0.8363759575721863,3419,25,573
logistic_regression,test,0.8329921029540801,0.030874785591766724,0.75,0.05930807248764415,0.8227540500736377,3419,24,583
random_forest,validation,0.9926879204445744,0.5,0.12,0.1935483870967742,0.8697878609310548,3419,25,6
random_forest,test,0.9950277859023107,1.0,0.2916666666666667,0.45161290322580644,0.8414150711831123,3419,24,7
xgboost,validation,0.9821585258847616,0.1896551724137931,0.44,0.26506024096385544,0.7815262227460225,3419,25,58
xgboost,test,0.9862532904357999,0.2553191489361702,0.5,0.3380281690140845,0.8848306332842415,3419,24,47
