model,dataset,threshold,accuracy,precision,recall,f1,roc_auc,rows,positive_labels,positive_predictions
logistic_regression,validation,0.6799999999999999,0.9395524556814879,0.1111111111111111,0.48936170212765956,0.18110236220472442,0.7876477889642547,3441,47,207
logistic_regression,test,0.6799999999999999,0.9381173736199884,0.11214953271028037,0.5106382978723404,0.1839080459770115,0.7671043148560147,3442,47,214
random_forest,validation,0.095,0.966870095902354,0.20353982300884957,0.48936170212765956,0.2875,0.8782958662972205,3441,47,113
random_forest,test,0.095,0.9657176060429983,0.19130434782608696,0.46808510638297873,0.2716049382716049,0.9098799862125152,3442,47,115
xgboost,validation,0.575,0.972682359779134,0.24175824175824176,0.46808510638297873,0.3188405797101449,0.8850787998846525,3441,47,91
xgboost,test,0.575,0.9706565950029052,0.20652173913043478,0.40425531914893614,0.2733812949640288,0.8766834832200043,3442,47,92
