ratio_name,label_0_count,label_0_mean,label_0_median,label_1_count,label_1_mean,label_1_median
총자산증가율,19918,6051.356602428529,4.5569654096,252,-5.387295046012699,-6.632658820850001
유동자산증가율,19821,5055.491871318015,4.5553309992,252,131.69312667450555,-1.13898020535
매출액증가율,19360,4138.180117069435,4.5075747882999995,238,19.86570617630588,-11.08022510695
순이익증가율,19831,3710.66197110506,-16.4928528416,249,-78.89271938868153,-10.1415195925
영업이익증가율,19930,3923.8212911953547,-8.52862915505,252,137.62325930707897,-13.46776389335
매출액순이익률,21952,-152.21151776968097,2.6897887871,291,-170.35757532480378,-26.8999532306
매출총이익률,20867,19.392002354396148,18.9809445867,256,9.803595265520313,11.5782184885
자기자본순이익률 (ROE),22555,-5.010025805375167,3.93252064,309,-77.83155681047023,-6.2494111942
매출채권회전율,21812,49.085837655297496,6.32182192975,267,100.26868883100262,5.1409777496
재고자산회전율,20148,141.9308240099323,5.4834461641,225,140.12374359701957,7.8496031875
총자본회전율,22175,0.7766445101601351,0.6970237959,302,0.6105236227046358,0.39389882305
유형자산회전율,21923,15.190047937553937,2.7751632292,260,51.31875883640192,2.1923269892499997
매출원가율,20867,80.85030298471156,81.0205651359,256,88.82856829495157,88.28582787215001
부채비율,22626,122.61980095928325,67.6246060467,311,198.80246009154533,64.2978809428
유동비율,22403,10056.92985359738,170.3109641554,306,75876.02428769281,102.1141114352
자기자본비율,22619,58.100239883755584,59.0006286655,311,40.00975267734855,49.565370353
당좌비율,20750,253.02624484294867,123.14517512649999,238,152.56000358827103,83.38489593045
비유동자산장기적합률,13451,28771.305746089853,7.2941330177,130,356.5617885363754,8.4473490122
순운전자본비율,22442,21.039267726998016,20.06835241855,309,-4.185067614214563,0.2429916316
차입금의존도,22619,20.637901555427227,15.6722431627,311,34.87700124096141,22.3676065251
현금비율,22394,1309.2737748183495,34.6445324694,306,3539.42245185682,12.814935542699999
유형자산,22306,1605461282937.609,44964647408.0,264,90446532701.17802,15233057371.5
무형자산,22077,613024169739.9556,2793348551.0,252,30500030961.11111,1416089208.0
무형자산상각비,22628,56865863106.47335,0.0,313,104545764.46964855,0.0
유형자산상각비,22628,34608276461.91046,0.0,313,1010870850.485623,0.0
감가상각비,22628,91474139568.38382,0.0,313,1115416614.9552715,0.0
총자본영업이익률,22619,1.6190187503350502,2.7836347064,311,-10.806883700327974,-3.7955285465
총자본순이익률,22548,-0.5294999498598146,2.0561811919500004,309,-29.97663097710032,-10.4630609402
유보액/납입자본비율,22367,4205.761356624101,905.3132541091,297,553.1857301525134,57.8477077547
총자본투자효율,22619,0.015974780120336884,0.0346449173,311,-0.23926539850610928,-0.0590921476
