기업상태,기업명,기업코드,연도,종목코드,보고기간,산업군,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률 (ROE),매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산_총자산비율,무형자산_총자산비율,무형자산상각비_총자산비율,유형자산상각비_총자산비율,감가상각비_총자산비율,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,period_Q1,period_H1,period_Q3,period_ANNUAL,총자산증가율_missing,유동자산증가율_missing,매출액증가율_missing,순이익증가율_missing,영업이익증가율_missing,매출액순이익률_missing,매출총이익률_missing,자기자본순이익률 (ROE)_missing,매출채권회전율_missing,재고자산회전율_missing,총자본회전율_missing,유형자산회전율_missing,매출원가율_missing,부채비율_missing,유동비율_missing,자기자본비율_missing,당좌비율_missing,비유동자산장기적합률_missing,순운전자본비율_missing,차입금의존도_missing,현금비율_missing,유형자산_총자산비율_missing,무형자산_총자산비율_missing,무형자산상각비_총자산비율_missing,유형자산상각비_총자산비율_missing,감가상각비_총자산비율_missing,총자본영업이익률_missing,총자본순이익률_missing,유보액/납입자본비율_missing,총자본투자효율_missing,label
상장,003800,00140052,2025,003800,ANNUAL,Consumer Discretionary,4.5972786332,28.6119432444,-2.6763832023,-15.0747900947,-18.3349530987,17.6424050739,62.2647297029,7.4786630571,14.6115536186,4.0485028895,0.3876601626,0.6513724092,37.7352702971,9.3490473983,348.2793106843,91.4502708339,304.5338528641,,20.5074541941,0.0,93.7667309003,59.5143664628,0.0036432784,0.0,0.0,0.0,6.6092395572,6.8392576205,6719.4492356177,0.079318354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2016,003800,H1,Consumer Discretionary,,,,,,16.120122426,55.4420917253,2.2182251807,3.7226628166,0.888237968,0.1269941752,0.2174513625,44.5579082747,8.3561319527,353.508577101,92.2882703525,243.6416935424,,14.6995864133,0.0,44.0563504323,58.4011862421,0.33486466,0.0,0.0,0.0,2.4773477712,2.0471616518,3216.6599398557,0.0230672154,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2017,003800,H1,Consumer Discretionary,4.7446048943,-19.6325415389,-2.8301382814,-53.8922996882,-40.8532018494,7.6490977826,53.7116973881,0.9766163553,3.1339017673,0.8117553176,0.1178104252,0.1882535991,46.2883026119,8.3752361259,270.5625688608,92.2720019579,154.9948434567,,9.9146411414,0.0,70.4175891969,62.5807027286,0.2924214662,0.0,0.0,0.0,1.3988996256,0.9011434625,3393.5824501262,0.0128592614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2018,003800,H1,Consumer Discretionary,7.6532586015,5.7446976019,15.2061096044,132.1310791716,125.1752209102,15.4123190954,57.2079781699,2.11663484,2.2861810224,0.888380345,0.1260758935,0.1994326403,42.7920218301,8.9295962135,256.4558951412,91.8024150241,155.6429733261,,9.4247892887,0.0,35.960376887,63.2172814274,0.0595955621,0.0,0.0,0.0,2.9260380626,1.9431219004,3662.6354820379,0.0239835792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2019,003800,H1,Consumer Discretionary,13.0964316724,8.4431459972,19.4714170889,75.7809437077,40.7688852262,22.6764866554,58.3686964943,3.3420089888,2.8234757449,1.0579867015,0.1331825013,0.2023051196,41.6313035057,10.6584742629,231.7188287975,90.3681355324,149.7398163841,,8.4203888143,0.0,47.4368856129,65.832491808,0.0444308642,0.0,0.0,0.0,3.6419815383,3.0201112125,4017.970216312,0.0317793685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2020,003800,H1,Consumer Discretionary,7.9282723597,15.6878315472,10.6206929458,9.3969487811,1.5013226962,22.4256274582,62.2489837657,3.3988967932,3.0944048193,0.9660351151,0.1365049236,0.2017417669,37.7510162343,11.0312062137,236.2633841559,90.0647695455,156.8886278107,,9.15758199,0.0,70.1270690136,67.6631942477,0.0374297155,0.0,0.0,0.0,3.4251075765,3.0612085638,4329.8877971235,0.0300676447,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2021,003800,H1,Consumer Discretionary,12.873034531,42.5990172854,24.5761146211,23.7434364493,35.7611989383,22.2757325082,61.3697771693,3.8127241984,3.8983976205,1.0805277357,0.1506582426,0.2175406632,38.6302228307,13.6084146736,232.2908116189,88.0216490013,169.9185020799,,11.4241013301,0.0,50.470280335,69.255209741,0.0313965394,0.0,0.0,0.0,4.1196439256,3.3560227113,4796.3096917493,0.035617331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2022,003800,H1,Consumer Discretionary,7.7823361639,13.5336250798,-3.2499121851,-7.7512475893,-10.4196145891,21.2393454035,61.5719529568,3.2111714143,3.6172986711,0.9470329063,0.1352373563,0.2100568404,38.4280470432,11.795851762,224.6051962044,89.448757198,166.2743325893,,11.7224304131,0.0,40.8401494946,64.3813150865,0.0060390993,0.0,0.0,0.0,3.4239310795,2.8723529216,5257.4697613977,0.0313454209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2023,003800,H1,Consumer Discretionary,6.9627869911,10.6957154881,-17.1318482641,-24.8773108428,-26.6530626244,19.2541610887,63.0360957918,2.2417613633,3.2200985059,0.7428698599,0.1047735392,0.1652095306,36.9639042082,11.1253557304,235.3347797486,89.9884633374,179.2295406827,,12.5754262818,0.0,64.1519032082,63.4185805623,0.0027898665,0.0,0.0,0.0,2.3478713068,2.0173266026,5638.8565441659,0.0218111524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2024,003800,H1,Consumer Discretionary,6.174466899,-3.3379007411,7.2243053223,54.8270914607,28.7027399774,27.8021457068,65.4087317633,3.2256209545,3.4173129237,0.8583964834,0.1058095255,0.1589442492,34.5912682367,9.650407463,238.454398709,91.1989315077,187.3835452199,,11.5594444994,0.0,47.398867747,66.5702131675,0.0053716782,0.0,0.0,0.0,2.8460465036,2.941731845,6073.5004413436,0.029555387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
