기업상태,기업명,기업코드,연도,종목코드,보고기간,산업군,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률 (ROE),매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산_총자산비율,무형자산_총자산비율,무형자산상각비_총자산비율,유형자산상각비_총자산비율,감가상각비_총자산비율,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율,period_Q1,period_H1,period_Q3,period_ANNUAL,총자산증가율_missing,유동자산증가율_missing,매출액증가율_missing,순이익증가율_missing,영업이익증가율_missing,매출액순이익률_missing,매출총이익률_missing,자기자본순이익률 (ROE)_missing,매출채권회전율_missing,재고자산회전율_missing,총자본회전율_missing,유형자산회전율_missing,매출원가율_missing,부채비율_missing,유동비율_missing,자기자본비율_missing,당좌비율_missing,비유동자산장기적합률_missing,순운전자본비율_missing,차입금의존도_missing,현금비율_missing,유형자산_총자산비율_missing,무형자산_총자산비율_missing,무형자산상각비_총자산비율_missing,유형자산상각비_총자산비율_missing,감가상각비_총자산비율_missing,총자본영업이익률_missing,총자본순이익률_missing,유보액/납입자본비율_missing,총자본투자효율_missing,label
상장,003800,00140052,2015,003800,ANNUAL,Consumer Discretionary,0.0,0.0,0.0,0.0,0.0,0.6401880588357655,0.78597150592414,0.6697239453179147,1.8728618823485979,0.2895254367543229,1.36629350065184,-0.1591723102219598,-1.6132328831250888,-1.151681083064506,0.6476649652898792,0.6791109050619684,0.8325576154021045,0.0,0.006149577489642283,-0.7414380998092599,0.5228786273751309,0.6938745259059996,-0.5159617297970358,0.0,0.0,0.0,1.026493019986626,0.9269226303479523,0.9743395055444752,1.5308159160567913,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2016,003800,ANNUAL,Consumer Discretionary,0.13020303957739018,-0.5207972007114662,0.468873068838553,0.38241532346050616,0.6487226533272704,0.6298501042428614,0.8069729964840223,0.6530187332055596,1.8674820845593891,0.22345611839495874,1.3629392599020382,-0.19026213430686947,-1.7037156415267942,-1.1625200499660706,0.5947862526683458,0.6816636323982187,0.7013656317089193,0.0,-0.021873275291327102,-0.7414380998092599,0.6087290974867322,0.73838056949977,-0.5171658065860215,0.0,0.0,0.0,1.0199363401376975,0.9052858255212322,1.0059527284029173,1.581609600143826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2017,003800,ANNUAL,Consumer Discretionary,0.11066369609484035,-0.7099050993670534,0.26998413845512276,0.1049664848365727,0.0943985100728131,0.6049774191182751,0.8084221310675616,0.6037763828335251,1.5522123978227211,0.23349041910733961,1.2943085780009294,-0.21942053333425407,-1.710146833676027,-1.2042678794697323,0.3800782403634496,0.6911430577130121,0.3191363397254812,0.0,-0.09849770210043937,-0.7414380998092599,0.43647687056222156,0.7625162010850367,-0.5368439913636983,0.0,0.0,0.0,0.9481460461249945,0.8419302890368011,1.0308483890644138,1.3309584044910714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2018,003800,ANNUAL,Consumer Discretionary,0.26167842057036067,0.023245183906985822,0.551085522759576,0.7960940198710157,0.8761974679236257,0.6126597916072444,0.8327610675675851,0.6145314679383798,1.6518546732603872,0.2683481541415579,1.256041603863563,-0.2425905694778214,-1.8220282394702942,-1.074740971922566,0.22128151977932914,0.6598451586851037,0.1232256401738256,0.0,-0.14047395245800084,-0.7414380998092599,0.3097330328855488,0.7879442982321363,-0.6457719497343478,0.0,0.0,0.0,1.0010985256554477,0.8497965439665094,1.0711898505443551,1.3747360198849965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2019,003800,ANNUAL,Consumer Discretionary,0.198973973780586,-0.06592415157414273,0.6973337203811848,0.9370090882309304,0.8563540711364654,0.6416470198350128,0.8865641179793685,0.6908566253123687,1.818150778216266,0.30133722505316135,1.4752607436823464,-0.21324336886159073,-2.098521807927981,-1.0534903067353956,0.1667488840601866,0.6591319071842551,0.020783966732805394,0.0,-0.1643780209139884,-0.7414380998092599,0.17824281241323098,0.8061284492611271,-0.6513336877713214,0.0,0.0,0.0,1.0543113142082117,0.9507582555460091,1.1094530489647445,1.7249696043543266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2020,003800,ANNUAL,Consumer Discretionary,0.24759961794839871,0.4666252173097985,0.42949850584635385,0.7675090102119848,0.3307463333996099,0.6530219637553404,0.8704093639528894,0.6988886097799324,1.5261005645117163,0.31958137833154,1.3608612680817647,-0.231119655694373,-2.010873741309815,-0.9209600115678214,0.13935287888988787,0.614695872845196,0.10945567366057848,0.0,-0.1352198906002054,-0.7414380998092599,0.17889739318928646,0.80111313377276,-0.6544969143882684,0.0,0.0,0.0,1.0070094136250074,0.9520043823957925,1.148598081387682,1.8000125188834513,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2021,003800,ANNUAL,Consumer Discretionary,0.25433803033878527,0.46532281026196987,0.6712481545356918,0.8817393886628644,0.963893672591791,0.666564018907875,0.8933070817536006,0.7397708659021923,1.9668012639103716,0.2515325703373685,1.4876204623308469,-0.1752549980366619,-2.136397960645881,-0.8949583627732735,0.07736884968138504,0.6060942449572532,0.057333416318294174,0.0,-0.11591125455880336,-0.7414380998092599,0.36392704779279006,0.7522547108676361,-0.6703619627534495,0.0,0.0,0.0,1.1420623348119316,1.0043017661459384,1.1969052381233096,1.9865907264142393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2022,003800,ANNUAL,Consumer Discretionary,0.15328322318409954,0.35119884629554055,0.12257225040454166,0.08636118489132055,0.06982915711769803,0.639243928518895,0.8838937154939523,0.6740982351493949,1.859055126269557,0.2929202931632727,1.3694689255099244,-0.20841843237674065,-2.083736769967498,-1.02143100642376,0.27536323668494905,0.6452488581634135,0.3764337470700408,0.0,-0.055253125954996214,-0.7414380998092599,0.20705996879679803,0.7679306492145501,-0.672604989545239,0.0,0.0,0.0,1.0499959876932168,0.9256200688536027,1.2367674727402675,1.6693041963439288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2023,003800,ANNUAL,Consumer Discretionary,0.08640959991062207,-0.5735349996713351,-0.32274922031406045,0.20117527439893304,0.08908439677946181,0.6504255435274975,0.922040592989099,0.643920610219703,1.8150577038847684,0.2283149411893099,1.0893791350562176,-0.28331861288656385,-2.3070998481769696,-1.1179765892512494,0.26953541993977764,0.670922982499339,0.3731639050833286,0.0,-0.08204938560281287,-0.7414380998092599,0.28782763621400737,0.803910543382216,-0.6709904376008884,0.0,0.0,0.0,0.9778006721905833,0.8909886972073994,1.2647790319800047,1.4920682677734547,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,003800,00140052,2024,003800,ANNUAL,Consumer Discretionary,0.21106594499857836,0.41380465453567006,0.487334305258185,0.8759849371178877,0.8068279872017231,0.6823321045783333,0.9266042384309731,0.6877474728846674,1.9127599899662677,0.326076631056256,1.0486998915611634,-0.2678010955202362,-2.335697559266542,-1.0648741299217375,0.3148993896998678,0.6572233407318755,0.5021174722302979,0.0,-0.04814508210802804,-0.7414380998092599,0.34785439106692,0.7632444873017713,-0.6718386267751443,0.0,0.0,0.0,1.0023850799360814,0.9462309741309844,1.3018625160822797,1.640442451082971,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
